"";"powiattyp_nazwa";"l_oddzialow_i";"wojewodztwo";"l_uczniow_i";"jedn_id";"jedn_nazwa";"jedn_kodpoczt";"jedn_poczta";"jedn_ulica";"jedn_domlokal";"jedn_telefon";"jedn_faks";"jedn_email";"jedn_www";"rodzaj_jednostki";"zespol";"organ_prowadzacy";"publiczna";"specyfika_jednostki";"zwiazanie";"wojew_gus";"klasa_wielkosci_miejscowosci";"rodzaj_gminy";"braki_oddzialy"
"805";"ziemski";"7.00";"WOJ. ŚLĄSKIE";164;190000034549;"Liceum Ogólnokształcące w Gilowicach";"43-227";"Miedźna";"Korfantego";"38";322117321;322117480;"logilowice@poczta.onet.pl";"www.logilowice.hekko.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";24;"wieś";"gmina wiejska";0
"807";"ziemski";"9.00";"WOJ. ŚLĄSKIE";225;190000034786;"Liceum Ogólnokształcące im. Powstańców Śląskich";"41-922";"Radzionków";"Plac Jana pawła II";"8";322866251;322866251;"liceum@liceum.radzionkow.pl";"www.liceum.radzionkow.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"808";"ziemski";"4.00";"WOJ. ŚLĄSKIE";114;190000034969;"IV LICEUM OGÓLNOKSZTAŁCĄCE";"43-200";"PSZCZYNA";"SZYMANOWSKIEGO";"12";322103463;322103463;"pszczynazsr@neostrada.pl";"www.zsrpszczyna.edu.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"809";"ziemski";"19.00";"WOJ. ŚLĄSKIE";537;190000034974;"I Liceum Ogólnokształcace im. Bolesława Chrobrego";"43-200";"Pszczyna";"3Maja";"7";322103727;322103727;"liceum.pszczyna@post.pl";"www.chrobry-pszczyna.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"811";"ziemski";"2.00";"WOJ. ŚLĄSKIE";50;190000035022;"Liceum ogólnokształcące";"42-480";"Poręba";"Zakładowa";"1";326771064;326771064;"sekretariat@zsporeba.zawiercie.powiat.pl";"zsporeba.zawiercie.powiat.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"812";"ziemski";"8.00";"WOJ. ŚLĄSKIE";256;190000035027;"Liceum Ogólnokształcące w Zespole";"42-450";"Łazy";"Fabryczna";"1A";NA;NA;"";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"814";"ziemski";"17.00";"WOJ. ŚLĄSKIE";524;190000035056;"II Liceum Ogólnokształcace";"42-400";"Zawiercie";"Daszyńskiego";"2";326722746;326722746;"sekretariat@malczewska.zawiercie.powiat.pl";"malczewska.com";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"815";"ziemski";"6.00";"WOJ. ŚLĄSKIE";184;190000035061;"LICEUM OGÓLNOKSZTAŁCĄCE W ZESPOLE SZKÓŁ W SZCZEKOCINACH";"42-445";"SZCZEKOCINY";"SPACEROWA";"12";343557476;343557476;"zs_szczekociny@poczta.onet.pl";"www.zs-szczekociny.edu.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto do 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"816";"ziemski";"6.00";"WOJ. ŚLĄSKIE";189;190000035076;"LO";"42-436";"PILICA";"ZAMKOWA";"7";326735192;326735192;"zspilica@o2.pl";"www.zspilica.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto do 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"817";"ziemski";"2.00";"WOJ. ŚLĄSKIE";72;190000035080;"III Liceum Ogólnokształcące";"42-400";"Zawiercie";"Rataja";"7";NA;NA;"";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"818";"ziemski";"16.00";"WOJ. ŚLĄSKIE";510;190000035108;"I Liceum Ogólnokształcące im. S. Żeromskiego";"42-400";"ZAWIERCIE";"WOJSKA POLSKIEGO";"55";326722765;326722927;"sekretariat@zeromski.zawiercie.powiat.pl";"zeromski.zawiercie.powiat.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"820";"ziemski";"19.00";"WOJ. ŚLĄSKIE";635;190000035134;"I Liceum Ogólnokształcące im. Karola Miarki";"43-190";"Mikołów";"Żwirki i Wigury";"25";322262617;322262617;"dyrektor@miarka.edu.pl";"www.miarka.edu.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"821";"ziemski";"13.00";"WOJ. ŚLĄSKIE";397;190000035142;"II LICEUM OGÓLNOKSZTAŁCĄCE";"43-190";"MIKOŁÓW";"POKOJU";"4";322262247;322262247;"iilomikolow@poczta.onet.pl";"www2lomikolow.neostrada.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"822";"ziemski";"15.00";"WOJ. ŚLĄSKIE";474;190000035171;"Liceum Ogólnokształcące";"43-150";"Bieruń";"LIcealna";"17";322164060;NA;"";"";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"823";"ziemski";"4.00";"WOJ. ŚLĄSKIE";116;190000035189;"Powiatowy Zespół Szkół w Lędzinach - LICEUM OGÓLNOKSZTAŁCĄCE";"43-140";"LĘDZINY";"POKOJU";"4";322167322;322167322;"sekretariat_pzs@op.pl";"www.pzsledziny.org";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"824";"ziemski";"3.00";"WOJ. ŚLĄSKIE";92;190000035206;"LICEUM OGÓLNOKSZTAŁCĄCE";"44-120";"PYSKOWICE";"KARDYNAŁA STEFANA WYSZYŃSKIEGO";"37";322332596;322332596;"ZSMKPYSKOWICE@POCZTA.ONET.PL";"www.eduapple.pl/zsmkpyskowice";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"825";"ziemski";"15.00";"WOJ. ŚLĄSKIE";389;190000035214;"I Liceum Ogólnokształcące";"44-190";"Knurów";"1-go Maja";"21";322351961;322351961;"zsijp1@gmail.com";"www.zsijp.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"826";"ziemski";"2.00";"WOJ. ŚLĄSKIE";66;190000035225;"II Liceum Ogólnokształcące w Knurowie";"44-194";"Knurów";"Szpitalna";"29";323362617;323362617;"zsz2knurow@poczta.onet.pl";"www.zsz2knurow.edupage.org";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"827";"ziemski";"11.00";"WOJ. ŚLĄSKIE";326;190000035253;"II Liceum Ogólnokształcące z Odziałami Dwujęzycznymi i Integracyjnymi";"44-300";"Wodzisław Śl.";"Kardynała Stefana Wyszyńskiego";"41";324552228;324552228;"tischner.lowodz@gmail.com";"www.lo2.wodzislaw.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"829";"ziemski";"3.00";"WOJ. ŚLĄSKIE";88;190000035282;"III Liceum Ogólnokształcące z oddziałami sportowymi";"44-300";"Wodzisław Śl.";"Pszowska";"92";324562720;324562720;"zst@zstwodzislaw.net";"www.zstwodzislaw.net";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"830";"ziemski";"26.00";"WOJ. ŚLĄSKIE";805;190000035288;"I Liceum Ogólnokształcące";"44-300";"Wodzisław Śląski";"Szkolna";"1";324553164;324553164;"s@lo1-wodzislaw.net";"www.lo1-wodzislaw.net";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"831";"ziemski";"11.00";"WOJ. ŚLĄSKIE";289;190000035327;"Liceum Ogólnokształcące";"44-280";"Rydułtowy";"Skalna";"1";324578360;324578360;"lo1rydultowy@poczta.onet.pl";"www.skalna1.edu.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"832";"ziemski";"7.00";"WOJ. ŚLĄSKIE";177;190000035350;"Liceum Ogólnokształcące im. Wilhelma Szewczyka";"44-230";"Czerwionka-Leszczyny";"3 Maja";"42";324312034;324311466;"zsczl@poczta.onet.pl";"www.zscl.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"833";"ziemski";"12.00";"WOJ. ŚLĄSKIE";368;190000035364;"VI Liceum Ogólnokształcące";"42-600";"Tarnowskie Góry";"Pokoju";"14";327191158;327191158;"szkola@zstu.tg.edu.pl";"www.zstu.tg.edu.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"834";"ziemski";"6.00";"WOJ. ŚLĄSKIE";192;190000035368;"III Liceum Ogólnokształcące";"42-600";"Tarnowskie Góry";"Opolska";"26";322855053;322858625;"zschmio@o2.pl";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"835";"ziemski";"3.00";"WOJ. ŚLĄSKIE";84;190000035382;"IV Liceum Ogólnokształcące";"42-600";"Tarnowskie Góry";"Sienkiewicza";"23";NA;NA;"";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"836";"ziemski";"18.00";"WOJ. ŚLĄSKIE";600;190000035400;"I Liceum Ogólnokształcące im. S. Sempołowskiej";"42-600";"Tarnowskie Góry";"Opolska";"28";322852845;322852845;"sekretariat@sempa.pl";"www.sempa.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"837";"ziemski";"3.00";"WOJ. ŚLĄSKIE";57;190000035410;"LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZ. INTEGR. NR XI PRZY SALEZJAŃSKIM ZESPOLE SZKÓŁ";"42-604";"TARNOWSKIE GÓRY";"JANA ŚNIADECKIEGO";"1";323932301;NA;"";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"838";"ziemski";"18.00";"WOJ. ŚLĄSKIE";632;190000035435;"II Liceum Ogólnokształcące";"42-600";"Tarnowskie Góry";"Piłsudskiego";"1";322852941;322852941;"lostaszic@wp.pl";"";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"839";"grodzki";"28.00";"WOJ. ŚLĄSKIE";836;190000035461;"IX Liceum Ogólnokształcące";"42-201";"Częstochowa";"Jasnogórska";"8";343242310;343242310;"norwid@ids.czest.pl";"norwid.net";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"840";"grodzki";"9.00";"WOJ. ŚLĄSKIE";259;190000035469;"XVI Liceum Ogólnokształcące";"42-200";"Częstochowa";"Św. Augustyna";"28/30";343242322;343242322;"ekonomik@zse.ids.czest.pl";"www.zse.ids.czest.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"841";"grodzki";"10.00";"WOJ. ŚLĄSKIE";251;190000035474;"XIII Liceum Ogólnokształcące";"42-200";"Częstochowa";"Krakowska";"80 f";343244040;343246617;"zsreymont@op.pl";"www.reymont.czestochowa.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"842";"grodzki";"5.00";"WOJ. ŚLĄSKIE";122;190000035487;"XIV Liceum Ogólnokształcące";"42-200";"Częstochowa";"Targowa";"29";343241411;343241411;"zsme@pro.onet.pl";"www.pulaski-zsme.ovh.org";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"844";"grodzki";"16.00";"WOJ. ŚLĄSKIE";492;190000035506;"XII Liceum Ogólnokształcące";"42-200";"Częstochowa";"Al. Niepodległości";"16/18";NA;NA;"";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"845";"grodzki";"27.00";"WOJ. ŚLĄSKIE";844;190000035509;"IV Liceum Ogólnokształcace im. Henryka Sienkiewicza";"42-217";"Częstochowa";"Al. NMP";"56";343241614;343245548;"sienkiewicz4@post.pl";"www.sienkiewicz.czest.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"846";"grodzki";"18.00";"WOJ. ŚLĄSKIE";576;190000035564;"II Liceum Ogólnokształcące";"42-218";"Częstochowa";"Kilińskiego";"62";343612568;343612568;"dyrektor-2lo@wp.pl";"";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"847";"grodzki";"16.00";"WOJ. ŚLĄSKIE";485;190000035565;"V Liceum Ogólnokształcące im. A. Mickiewicza";"42-200";"CZĘSTOCHOWA";"KRAKOWSKA";"29";343242314;343242314;"vlo@vmickiewicz.pl";"www.vmickiewicz.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"848";"grodzki";"15.00";"WOJ. ŚLĄSKIE";467;190000035566;"VI Liceum Ogólnokształcące";"42-200";"Częstochowa";"Łukasińskiego";"40";343231163;343231163;"lo6@edukacja.czestochowa.pl";"";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"849";"grodzki";"24.00";"WOJ. ŚLĄSKIE";772;190000035567;"VII Liceum Ogólnokształcące im. Mikołaja Kopernika";"42-217";"Częstochowa";"Nowowiejskiego";"18";343245266;343245266;"lo7@edukacja.czestochowa.pl";"www.kopernik.czest.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"850";"grodzki";"20.00";"WOJ. ŚLĄSKIE";615;190000035570;"I Liceum Ogólnokształcące im. J. Słowackiego";"42-202";"Częstochowa";"Kościuszki";"8";343242555;343681480;"liceum.slowackiego@gmail.com";"www.slowacki.org";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"851";"grodzki";"11.00";"WOJ. ŚLĄSKIE";312;190000035690;"VIII Liceum Ogólnokształcące samorządowe";"42-200";"Częstochowa";"Kukuczki";"30";343642762;343642762;"sekretariat@8los.pl";"www.8los.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"852";"grodzki";"18.00";"WOJ. ŚLĄSKIE";556;190000035794;"III Liceum Ogólnokształcące";"42-218";"Częstochowa";"Dąbrowskiego";"75";343611181;343615405;"lo3@edukacja.czestochowa.pl";"www.lo3msz.czest.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"853";"grodzki";"6.00";"WOJ. WIELKOPOLSKIE";148;190000035893;"XXXI Liceum Ogólnokształcące";"60-626";"Poznań";"Golęcińska";"9";618411583;618464455;"sekretariat@zstpoznan.pl";"zstpoznan.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"854";"grodzki";"5.00";"WOJ. WIELKOPOLSKIE";145;190000035933;"XVI Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi";"61-323";"Poznań";"Tarnowska";"27";618798090;618798090;"zso2@zso2.pl";"www.zso2.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"855";"grodzki";"24.00";"WOJ. WIELKOPOLSKIE";751;190000035956;"V Liceum Ogólnokształcące";"61-501";"Poznań";"Zmartwychwstańców";"10";618333831;618333847;"vlo@vlo.poznan.pl";"www.vlo.poznan.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"856";"grodzki";"18.00";"WOJ. WIELKOPOLSKIE";521;190000035961;"IX Liceum Ogólnokształcące";"61-658";"Poznań";"Warzywna";"24";618203632;618203632;"9lopoznan@9lopoznan.pl";"www.9lopoznan.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"857";"grodzki";"20.00";"WOJ. WIELKOPOLSKIE";589;190000035969;"III Liceum Ogólnokształcące";"61-845";"Poznań";"Strzelecka";"10";618524650;618524650;"lo3poz@gmail.com";"lo3.edu.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"858";"grodzki";"21.00";"WOJ. WIELKOPOLSKIE";591;190000035972;"IV Liceum Ogólnokształcące";"60-592";"Poznań";"Swojska";"6";618417771;618417771;"sekretariat@lo4.poznan.pl";"www.lo4.poznan.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"859";"grodzki";"23.00";"WOJ. WIELKOPOLSKIE";721;190000035974;"VI Liceum Ogólnokształcące";"61-889";"Poznań";"Krakowska";"17a";618524622;618524622;"sekretariat@paderek.poznan.pl";"paderek.poznan.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"860";"grodzki";"20.00";"WOJ. WIELKOPOLSKIE";601;190000035978;"X Liceum Ogólnokształcące";"61-389";"Poznań";"os.Rzeczypospolitej";"111";618771959;618729453;"lo10@poznan.interklasa.pl";"www.xlo.poznan.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"861";"grodzki";"5.00";"WOJ. WIELKOPOLSKIE";137;190000035988;"XXII Liceum Ogólnokształcące";"61-361";"Poznań";"Starołęcka";"36";618772640;618772640;"zschem@poczta.fm";"www.zsch.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"862";"grodzki";"8.00";"WOJ. WIELKOPOLSKIE";219;190000035994;"XIX Liceum Ogólnokształcące";"61-441";"Poznań";"28 Czerwca 1956 roku";"352/360";618320033;618320033;"sekretariat@zslt.edu.pl";"www.zslt.edu.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"863";"grodzki";"21.00";"WOJ. WIELKOPOLSKIE";677;190000036008;"VIII Liceum Ogólnokształcące";"60-262";"Poznań";"Głogowska";"92";618661037;618663387;"sekretariat@lo8.poznan.pl";"www.lo8.poznan.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"864";"grodzki";"9.00";"WOJ. WIELKOPOLSKIE";242;190000036025;"XVIII Liceum Ogólnokształcące";"60-365";"Poznań";"Szamotulska";"33";618672680;618673203;"zsgd@zsgd.poznan.pl";"www.zsgd.poznan.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"865";"grodzki";"19.00";"WOJ. WIELKOPOLSKIE";500;190000036042;"XIV Liceum Ogólnokształcące";"61-164";"Poznań";"os. Piastowskie";"106";618773632;618773632;"lo14@vp.pl";"www.czternastelo.i5.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"866";"grodzki";"3.00";"WOJ. WIELKOPOLSKIE";90;190000036045;"XXIII Liceum Ogólnokształcące";"61-863";"Poznań";"Kazimierza Wielkiego";"17";NA;NA;"";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"867";"grodzki";"21.00";"WOJ. WIELKOPOLSKIE";657;190000036059;"XI Liceum Ogólnokształcące";"60-304";"Poznań";"Ściegiennego";"134";618673416;618673416;"info@lo11.pl";"www.lo11.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"868";"grodzki";"11.00";"WOJ. WIELKOPOLSKIE";308;190000036067;"XXI Liceum Ogólnokształcące";"61-883";"Poznań";"Rybaki";"17";618534511;618535244;"sekretariat@zsb1.poznan.pl";"www.zsb1.poznan.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"869";"grodzki";"2.00";"WOJ. WIELKOPOLSKIE";40;190000036072;"XXXV Liceum Ogólnokształcące z Oddziałami Sportowymi";"61-658";"Poznań";"Warzywna";"19";618200091;618200091;"office@zsps.poznan.pl";"www.zsps.poznan.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"871";"grodzki";"10.00";"WOJ. WIELKOPOLSKIE";279;190000036110;"XXIX Liceum Ogólnokształcące";"61-472";"Poznań";"Świerkowa";"8";618321949;618323421;"zsm@poznan.interklasa.pl";"www.zsken.neostrada.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"872";"grodzki";"17.00";"WOJ. WIELKOPOLSKIE";484;190000036114;"XII Liceum Ogólnokształcące";"61-719";"Poznań";"Kutrzeby";"8";618525558;618525558;"liceum@lo12.edu.pl";"www.lo12.edu.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"873";"grodzki";"7.00";"WOJ. WIELKOPOLSKIE";182;190000036118;"XXVIII Liceum Ogólnokształcące";"60-135";"Poznań";"Raszyńska";"48";618610027;618610043;"poczta@zsbd.pl";"www.zsbd.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"874";"grodzki";"9.00";"WOJ. WIELKOPOLSKIE";225;190000036132;"XXVI Liceum Ogólnokształcące";"60-594";"Poznań";"Dąbrowskiego";"163";618417114;618417114;"sekretariat@zse-1.edu.pl";"zse-1.edu.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"875";"grodzki";"2.00";"WOJ. WIELKOPOLSKIE";52;190000036161;"XXIV Liceum Ogólnokształcące";"61-616";"Poznań";"os. Władysława Łokietka";"104";618227431;618227431;"info@zso5.pl";"www.zso5.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"876";"grodzki";"20.00";"WOJ. WIELKOPOLSKIE";552;190000036170;"Liceum Ogólnokształcące św. Marii Magdaleny";"61-867";"Poznań";"Garbary";"24";618527705;618527705;"liceum@marynka.edu.pl";"www.marynka.edu.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"877";"grodzki";"3.00";"WOJ. WIELKOPOLSKIE";55;190000036196;"Publiczne Salezjańskie Liceum Ogólnokształcące w Poznaniu";"61-387";"Poznań";"os. Bohat. II Wojny Światowej";"29";618756230;618756240;"szkola-poznan@salezjanie.pl";"www.szkola-poznan.salezjanie.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"878";"grodzki";"9.00";"WOJ. WIELKOPOLSKIE";163;190000036201;"Publiczne Liceum Ogólnokształcące Zakonu Pijarów";"60-688";"Poznań";"os. Jana III Sobieskiego";"114";618234041;618234041;"poznan@pijarzy.pl";"www.poznan.pijarzy.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"879";"grodzki";"11.00";"WOJ. WIELKOPOLSKIE";253;190000036247;"XV Liceum Ogólnokształcące";"60-681";"Poznań";"Bolesława Chrobrego";"107";618223971;618223971;"sekretariat@zso15poznan.pl";"xvlo.poznan.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"880";"grodzki";"2.00";"WOJ. WIELKOPOLSKIE";32;190000036481;"Publiczne Liceum Ogólnokształcące Językowo - Informatyczne";"61-854";"Poznań";"Strzałkowskiego";"5/7";618475386;618475386;"liceum@wci.pl";"www.liceum.wci.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
